bout,baʊt
ivie,aɪvi
ivor,aɪvɝ
iwai,aɪwaɪ
iwan,iwɑn
iwen,ɪwən
iyer,aɪɝ
izod,aɪzɑd
izzi,ɪzi
izzo,ɪzoʊ
izzy,ɪzi
jaan,dʒæn
jaan,jɑn
jabs,dʒæbz
jaco,jɑkoʊ
jaes,dʒeɪz
jago,jɑɡoʊ
jags,dʒæɡz
jagt,dʒæt
jahn,dʒæn
jahr,dʒɑɹ
jail,dʒeɪɫ
jain,dʒaɪn
jain,dʒeɪn
jams,dʒæmz
jamb,dʒæm
jams,dʒæmz
jamu,dʒæmu
jans,dʒænz
jang,dʒæŋ
jank,dʒæŋk
jans,dʒænz
janz,dʒænz
japs,dʒæps
jara,dʒɑɹə
jars,dʒɑɹz
jaso,jɑsoʊ
jass,dʒæs
java,dʒɑvə
jaws,dʒɔz
jays,dʒeɪz
jaya,dʒaɪə
jays,dʒeɪz
jazz,dʒæz
jech,dʒɛk
jedi,dʒɛdi
jeep,dʒip
jeer,dʒɪɹ
jees,dʒiz
jeez,dʒiz
jeju,dʒɛdʒu
jell,dʒɛɫ
jems,dʒɛmz
jenn,dʒɛn
jens,dʒɛnz
jent,dʒɛnt
jerk,dʒɝk
jerr,dʒɝ
jest,dʒɛst
jets,dʒɛts
jets,dʒɛts
jets,dʒɛts
jett,dʒɛt
jews,dʒuz
jews,dʒuz
jfet,dʒfɛt
jian,dʒiən
jiar,dʒiɑɹ
jibe,dʒaɪb
jigs,dʒɪɡz
jilt,dʒɪɫt
jims,dʒɪmz
jima,dʒimə
jimi,dʒɪmi
jing,dʒɪŋ
jink,dʒɪŋk
jinx,dʒɪŋks
jiri,dʒɪɹi
jive,dʒaɪv
joao,dʒoʊoʊ
jobs,dʒɑbz
jobs,dʒoʊbz
jobe,dʒoʊb
jobs,dʒɑbz
jobs,dʒɑbz
jock,dʒɑk
joes,dʒoʊz
joes,dʒoʊz
jogs,dʒɑɡz
join,dʒɔɪn
joke,dʒoʊk
joki,dʒoʊki
jolt,dʒoʊɫt
joly,dʒoʊɫi
jons,dʒɑnz
jonn,dʒɑn
joon,dʒun
joos,dʒuz
jopp,dʒɑp
jory,dʒɔɹi
joss,dʒɔs
jost,dʒɑst
jour,dʒuɹ
jovi,dʒoʊvi
jowl,dʒaʊɫ
joys,dʒɔɪz
joys,dʒɔɪz
juba,dʒubə
jubb,dʒəb
judd,dʒəd
judo,dʒudoʊ
juel,dʒuɫ
juge,dʒudʒ
jugs,dʒəɡz
juhl,dʒəɫ
jujo,dʒudʒoʊ
juju,dʒudʒu
juke,dʒuk
juki,dʒuki
july,dʒuɫaɪ
july,dʒəɫaɪ
jump,dʒəmp
junk,dʒəŋk
juno,dʒunoʊ
jura,dʒʊɹə
jure,dʒʊɹ
jurs,dʒɝz
jury,dʒʊɹi
just,dʒəst
just,dʒɪst
jute,dʒut
juts,dʒəts
juul,dʒuəɫ
juve,dʒuv
jwan,dʒwɑn
jynx,dʒɪŋks
kaas,kɑs
kabi,kæbi
kabi,kɑbi
kach,kætʃ
kade,keɪd
kady,keɪdi
kael,keɪɫ
kage,keɪdʒ
kagy,keɪɡi
kahl,kɑɫ
kahn,kɑn
kahr,kɑɹ
kail,keɪɫ
kaim,keɪm
kain,keɪn
kaji,kɑdʒi
kalb,kæɫb
kale,keɪɫ
kalk,kɔk
kall,kɔɫ
kalo,keɪɫoʊ
kalp,kæɫp
kalt,kɔɫt
kama,kɑmə
kamm,kæm
kamp,kæmp
kana,kænə
kane,keɪn
kang,kæŋ
kang,kɑŋ
kann,kæn
kano,kɑnoʊ
kant,kænt
kanz,kænz
kapp,kæp
kaps,kæps
karg,kɑɹɡ
karn,kɑɹn
karp,kɑɹp
karr,kɑɹ
kase,keɪz
kash,kæʃ
kass,kæs
kast,kæst
kath,kæθ
kato,keɪtoʊ
kats,kæts
katt,kæt
katz,kæts
kauk,kɔk
kaul,kɔɫ
kaup,kɔp
kaus,kɔz
kawa,kɑwə
kays,keɪz
kaya,kɑjə
kayo,keɪoʊ
kays,keɪz
kcal,keɪkɑɫ
kcop,keɪkɔp
keal,kiɫ
kean,kin
kear,kɪɹ
keas,kiz
keay,kii
keck,kɛk
kedo,kɛdoʊ
keds,kɛdz
kees,kiz
keef,kif
keel,kiɫ
keen,kin
keep,kip
kees,kiz
kegg,kɛɡ
kegs,kɛɡz
kehl,kɛɫ
kehm,kɛm
kehn,kɛn
kehr,kɛɹ
keil,kiɫ
keim,kim
keio,keɪoʊ
keir,kiɹ
kell,kɛɫ
kelm,kɛɫm
kelp,kɛɫp
kemp,kɛmp
kens,kɛnz
kenn,kɛn
keno,kinoʊ
kepp,kɛp
kept,kæpt
kept,kɛpt
kerb,kɝb
kerl,kɝɫ
kern,kɝn
kerr,kɝ
kess,kɛs
keta,kɛtə
keto,keɪtoʊ
kett,kɛt
ketz,kɛts
keys,kiz
keye,kaɪ
keys,kiz
khad,kæd
khan,kɑn
khat,kɑt
khem,kɛm
khoo,ku
khuu,ku
kiam,kiəm
kian,kiən
kick,kɪk
kids,kɪdz
kida,kidə
kidd,kɪd
kido,kidoʊ
kids,kɪdz
kids,kɪdz
kief,kif
kiel,kiɫ
kier,kɪɹ
kies,kaɪs
kiev,kiɛv
kiff,kɪf
kihn,kɪn
kika,kɪkə
kiki,kiki
kila,kɪɫə
kile,kaɪɫ
kill,kɪɫ
kiln,kɪɫn
kilo,kɪɫoʊ
kilt,kɪɫt
kims,kɪmz
kime,kaɪm
kimm,kɪm
kims,kɪmz
kins,kɪnz
kind,kaɪnd
kinn,kɪn
kint,kɪnt
kipp,kɪp
kiri,kɪɹi
kirn,kɝn
kirt,kɝt
kise,kaɪz
kish,kɪʃ
kiss,kɪs
kist,kɪst
kita,kitə
kite,kaɪt
kits,kɪts
kitt,kɪt
kitz,kɪts
kivi,kɪvi
kiwi,kiwi
kjar,keɪdʒeɪeɪɑɹ
kjar,kjɑɹ
kjos,kjɔs
klan,kɫæn
klar,kɫɑɹ
klas,kɫæs
klay,kɫeɪ
klee,kɫi
klem,kɫɛm
kley,kɫeɪ
klim,kɫɪm
kloc,kɫɑk
klom,kɫɔm
klos,kɫɔs
klug,kɫəɡ
klus,kɫəs
klux,kɫəks
klym,kɫɪm
knab,næb
knbc,keɪɛnbisi
knee,ni
knew,nju
knew,nu
knin,keɪɛnaɪɛn
knin,knɪn
knin,nɪn
knit,nɪt
knob,nɑb
knop,nɑp
knot,nɑt
know,noʊ
knox,nɑks
knoy,nɔɪ
knut,knət
koba,koʊbɑ
kobe,koʊbeɪ
kobs,kɑbz
koby,koʊbi
koch,koʊk
koch,kɔtʃ
koci,koʊsi
kock,kɑk
kodo,koʊdoʊ
koen,koʊn
koep,koʊp
koff,kɔf
kofi,koʊfi
kofu,koʊfu
koga,koʊɡə
kogi,koʊɡi
kohl,koʊɫ
kohn,kɑn
kohr,kɔɹ
koji,koʊdʒi
koke,koʊk
koki,koʊki
koko,koʊkoʊ
kolb,koʊɫb
kole,koʊɫ
kolk,koʊk
koll,kɑɫ
kolm,koʊm
kolp,koʊɫp
komi,koʊmi
komp,kɑmp
kona,koʊnə
kong,kɔŋ
kong,kɔŋɡ
kono,koʊnoʊ
konz,kɑnz
koob,kub
kooi,kui
kook,kuk
kool,kuɫ
koon,kun
koop,kup
koor,kuɹ
koos,kuz
kooy,kui
kope,koʊp
kopf,kɔpf
kopp,kɑp
kops,kɑps
kopy,kɑpi
kora,kɔɹə
korb,kɔɹb
korf,kɔɹf
korn,kɔɹn
kort,kɔɹt
kosa,koʊsɑ
kosh,kɑʃ
koss,kɔs
kost,kɑst
kosy,koʊsi
kote,koʊt
koth,kɑθ
koto,koʊtoʊ
kott,kɑt
kotz,kɑts
koyo,kɔɪoʊ
koza,koʊzə
kozo,koʊzoʊ
kpmg,keɪpiɛmdʒɪ
krah,kɹɑ
kral,kɹæɫ
kram,kɹæm
kras,kɹæs
krat,kɹæt
kray,kɹeɪ
kreg,kɹɛɡ
kreh,kɹɛ
kren,kɹɛn
krey,kɹeɪ
krim,kɹɪm
kriz,kɹɪz
krob,kɹɑb
kroc,kɹɑk
krog,kɹɑɡ
kroh,kɹoʊ
krok,kɹɑk
krol,kɹɔɫ
krom,kɹɑm
kron,kɹɑn
kroy,kɹɔɪ
krug,kɹəɡ
kruk,kɹək
krul,kɹəɫ
krum,kɹəm
krus,kɹəs
kuan,kwɑn
kuba,kjubə
kube,kjub
kubo,kjuboʊ
kuby,kjubi
kuch,kətʃ
kuck,kək
kuhl,kəɫ
kuhn,kun
kuhr,kɝ
kula,kuɫə
kull,kəɫ
kulp,kəɫp
kume,kjum
kumm,kəm
kump,kəmp
kuna,kjunə
kung,kəŋ
kuns,kənz
kunz,kənz
kuow,kjuoʊ
kurd,kɝd
kurk,kɝk
kury,kjuɹi
kurz,kɝz
kusa,kusə
kusa,kuzə
kuse,kjuz
kush,kʊʃ
kuss,kəs
kutz,kəts
kuze,kjuz
kvam,kvæm
kwai,kwaɪ
kwak,kwæk
kwan,kwɑn
kwik,kwɪk
kwok,kwɑk
kwon,kwɑn
kyds,kɪdz
kyer,kaɪɝ
kyes,kaɪz
kyna,kɪnə
kyne,kaɪn
kyte,kaɪt
laas,ɫɑz
labs,ɫæbz
laba,ɫɑbə
labe,ɫeɪb
labo,ɫɑboʊ
labs,ɫæbz
labs,ɫæbz
lacs,ɫæks
lace,ɫeɪs
lach,ɫætʃ
lack,ɫæk
lada,ɫɑdə
ladd,ɫæd
lade,ɫeɪd
lads,ɫædz
laff,ɫæf
lage,ɫeɪdʒ
lago,ɫɑɡoʊ
lags,ɫæɡz
lahm,ɫæm
lahn,ɫæn
lahr,ɫɑɹ
laib,ɫeɪb
laid,ɫeɪd
lail,ɫeɪɫ
lain,ɫeɪn
lair,ɫɛɹ
lais,ɫeɪz
lait,ɫeɪ
lake,ɫeɪk
lall,ɫɔɫ
lama,ɫɑmə
lamb,ɫæm
lame,ɫeɪm
lamm,ɫæm
lamp,ɫæmp
lamy,ɫeɪmi
land,ɫænd
lank,ɫæŋk
lann,ɫæn
lano,ɫɑnoʊ
lant,ɫænt
lanz,ɫænz
laos,ɫaʊs
laos,ɫɑoʊs
laos,ɫeɪoʊs
lapd,ɛɫeɪpidi
lape,ɫeɪp
lapp,ɫæp
laps,ɫæps
lard,ɫɑɹd
lare,ɫɛɹ
lark,ɫɑɹk
lars,ɫɑɹz
lary,ɫɛɹi
lase,ɫeɪz
lash,ɫæʃ
lask,ɫæsk
lass,ɫæs
last,ɫæs
last,ɫæst
lata,ɫɑtə
late,ɫeɪt
lath,ɫæθ
lato,ɫɑtoʊ
lats,ɫæts
lats,ɫɑts
latz,ɫæts
laub,ɫɔb
laud,ɫɔd
lauf,ɫɔf
laun,ɫɔn
laur,ɫɔɹ
laut,ɫɔt
laux,ɫɔks
lava,ɫɑvə
lave,ɫeɪv
lavi,ɫeɪvi
lavy,ɫeɪvi
laws,ɫɔz
lawn,ɫɔn
laws,ɫɔz
lays,ɫeɪz
laye,ɫeɪ
lays,ɫeɪz
lazo,ɫɑzoʊ
lazy,ɫeɪzi
lead,ɫɛd
lead,ɫid
leaf,ɫif
leak,ɫik
leal,ɫiɫ
leap,ɫip
lear,ɫɪɹ
leas,ɫiz
lebo,ɫeɪboʊ
lech,ɫɛk
leck,ɫɛk
lecy,ɫisi
ledo,ɫeɪdoʊ
lees,ɫiz
leeb,ɫib
leed,ɫid
leek,ɫik
leen,ɫin
leep,ɫip
lees,ɫiz
leet,ɫit
leff,ɫɛf
left,ɫɛft
legs,ɫɛɡz
lege,ɫidʒ
legg,ɫɛɡ
lego,ɫɛɡoʊ
legs,ɫɛɡz
lehl,ɫɛɫ
lehn,ɫɛn
lehr,ɫɛɹ
leib,ɫib
lein,ɫin
leis,ɫeɪz
leja,ɫeɪjə
lema,ɫimə
lemm,ɫɛm
lemp,ɫɛmp
lend,ɫɛnd
lene,ɫin
leng,ɫɛŋ
lenk,ɫɛŋk
leno,ɫɛnoʊ
leno,ɫinoʊ
lens,ɫɛnz
lent,ɫɛnt
leny,ɫɛni
lenz,ɫɛnz
leos,ɫioʊz
leos,ɫioʊz
lepe,ɫip
lepp,ɫɛp
lesh,ɫɛʃ
lesi,ɫɛsi
less,ɫɛs
lest,ɫɛst
lets,ɫɛts
leth,ɫɛθ
leto,ɫitoʊ
lets,ɫɛts
lett,ɫɛt
letz,ɫɛts
leus,ɫuz
leva,ɫɛvə
leve,ɫiv
levy,ɫɛvi
levy,ɫivi
lewd,ɫud
lewi,ɫui
lewy,ɫui
leya,ɫeɪə
leyh,ɫeɪ
leys,ɫeɪz
lias,ɫiəz
liam,ɫiəm
lian,ɫjɑn
liao,ɫiaʊ
liar,ɫaɪɝ
liau,ɫiaʊ
liby,ɫaɪbi
lice,ɫaɪs
lich,ɫɪtʃ
lick,ɫɪk
lico,ɫikoʊ
lide,ɫaɪd
lido,ɫidoʊ
lids,ɫɪdz
lieb,ɫib
lied,ɫaɪd
lief,ɫif
liem,ɫim
lies,ɫaɪz
lieu,ɫju
lieu,ɫu
life,ɫaɪf
liff,ɫɪf
lifo,ɫifoʊ
lift,ɫɪft
like,ɫaɪk
lile,ɫaɪɫ
lill,ɫɪɫ
lilt,ɫɪɫt
lima,ɫaɪmə
lima,ɫimə
limb,ɫɪm
lime,ɫaɪm
limn,ɫɪm
limo,ɫɪmoʊ
limp,ɫɪmp
linc,ɫɪŋk
lind,ɫɪnd
line,ɫaɪn
lini,ɫini
link,ɫɪŋk
lins,ɫɪnz
lint,ɫɪnt
linz,ɫɪnz
lion,ɫaɪən
liou,ɫiu
lipa,ɫipə
lipe,ɫaɪp
lipp,ɫɪp
lips,ɫɪps
lips,ɫɪps
lira,ɫɪɹə
lire,ɫɪɹə
liro,ɫɪɹoʊ
lish,ɫɪʃ
lisi,ɫisi
lisk,ɫɪsk
lisp,ɫɪsp
liss,ɫɪs
list,ɫɪst
lite,ɫaɪt
lits,ɫɪts
litt,ɫɪt
litz,ɫɪts
live,ɫaɪv
live,ɫɪv
lizs,ɫɪzəz
load,ɫoʊd
loaf,ɫoʊf
loam,ɫoʊm
loar,ɫɔɹ
lobb,ɫɑb
lobe,ɫoʊb
lobo,ɫoʊboʊ
lobs,ɫɑbz
loca,ɫoʊkə
loch,ɫɑk
loci,ɫoʊkaɪ
loci,ɫoʊki
lock,ɫɑk
loco,ɫoʊkoʊ
locy,ɫoʊsi
lode,ɫoʊd
lodi,ɫoʊdaɪ
loeb,ɫoʊb
loew,ɫɑu
loew,ɫoʊ
loft,ɫɔft
loge,ɫoʊdʒ
logo,ɫoʊɡoʊ
logs,ɫɔɡz
lohn,ɫɑn
lohr,ɫɔɹ
loin,ɫɔɪn
loll,ɫɑɫ
lomb,ɫɑm
lone,ɫoʊn
lons,ɫɑnz
look,ɫʊk
loom,ɫum
loon,ɫun
loop,ɫup
loos,ɫuz
loot,ɫut
lope,ɫoʊp
lopp,ɫɑp
lord,ɫɔɹd
loro,ɫɔɹoʊ
lose,ɫuz
losh,ɫɑʃ
loso,ɫoʊsoʊ
loss,ɫɔs
lost,ɫɔst
lots,ɫɑts
loth,ɫɑθ
lots,ɫɑts
lott,ɫɑt
lotz,ɫɑts
lous,ɫuz
loud,ɫaʊd
louk,ɫaʊk
loup,ɫup
lour,ɫaʊɹ
lout,ɫaʊt
louw,ɫu
loux,ɫu
lowe,ɫoʊ
lown,ɫaʊn
lows,ɫoʊz
lowy,ɫoʊi
loya,ɫɔɪə
loye,ɫɔɪ
loza,ɫoʊzə
ltis,ɛtiaɪz
luau,ɫuaʊ
lube,ɫub
luby,ɫubi
luca,ɫukə
luce,ɫus
luck,ɫək
ludo,ɫudoʊ
ludy,ɫudi
lueh,ɫwɛ
luff,ɫəf
luft,ɫəft
luge,ɫudʒ
lugi,ɫuɡi
lugo,ɫuɡoʊ
lugs,ɫəɡz
luhn,ɫən
luhr,ɫɝ
luhr,ɫʊɹ
luiz,ɫuz
luka,ɫukə
luks,ɫəks
lull,ɫəɫ
luma,ɫumə
lumb,ɫəm
lumm,ɫəm
lump,ɫəmp
lund,ɫənd
lung,ɫəŋ
lunn,ɫən
lunt,ɫənt
lunz,ɫənz
lupa,ɫupə
lupi,ɫupi
lupo,ɫupoʊ
lure,ɫʊɹ
lurk,ɫɝk
lurz,ɫɝz
luse,ɫuz
lush,ɫəʃ
lusk,ɫəsk
lust,ɫəst
lute,ɫut
luth,ɫuθ
luty,ɫuti
lutz,ɫəts
luvs,ɫəvz
lwin,ɛɫwɪn
lwin,ɫuɪn
lwin,ɫwɪn
lyde,ɫaɪd
lyke,ɫaɪk
lyme,ɫaɪm
lynd,ɫɪnd
lyne,ɫaɪn
lyng,ɫɪŋ
lynk,ɫɪŋk
lynx,ɫɪŋks
lyon,ɫaɪən
lyra,ɫaɪɹə
lyre,ɫaɪɹ
mbow,mboʊ
mbow,ɛmboʊ
maam,mæm
maag,mɑɡ
maam,məm
maas,mɑz
mabe,meɪb
macs,mæks
mace,meɪs
mach,mɑk
macs,mæks
mada,mɑdə
madd,mæd
made,meɪd
madl,mædəɫ
mady,meɪdi
maes,meɪz
maes,meɪz
maez,maɪɛz
magi,meɪdʒaɪ
mags,mæɡz
mahe,meɪhi
mahl,mɑɫ
mahn,mæn
mahr,mɑɹ
maid,meɪd
mail,meɪɫ
maim,meɪm
main,meɪn
maio,meɪoʊ
mair,mɛɹ
mais,meɪs
make,meɪk
maki,mɑki
mako,mɑkoʊ
mals,mæɫz
mala,mɑɫə
male,meɪɫ
mali,mɑɫi
mall,mɔɫ
malm,mɑm
malo,mɑɫoʊ
malt,mɔɫt
maly,meɪɫi
mama,mɑmə
mame,meɪm
mans,mænz
mane,meɪn
mang,mæŋ
mani,mɑni
mank,mæŋk
mann,mæn
mano,mɑnoʊ
mans,mænz
manu,mɑnu
manx,mæŋks
manz,mænz
maos,maʊz
mapi,mæpi
mapp,mæp
maps,mæps
mare,mɛɹ
maro,mɑɹoʊ
marr,mɑɹ
mars,mɑɹz
mars,mɑɹz
mart,mɑɹt
marv,mɑɹv
marz,mɑɹz
masa,mɑsɑ
mase,meɪz
mash,mæʃ
masi,mɑsi
mask,mæsk
maso,mæzoʊ
mass,mæs
mast,mæst
mata,mɑtə
mate,meɪt
math,mæθ
mato,mɑtoʊ
mats,mæts
matz,mæts
maue,maʊi
maui,maʊi
mauk,mɔk
maul,mɔɫ
maus,mɔz
mave,meɪv
mavs,mɑvz
mavs,mɑvz
mawr,mɑɹ
mawr,mɔɝ
maxs,mæksɪz
maxa,mæksə
maxi,mæksi
maxx,mæks
maxy,mæksi
mays,meɪz
mayo,meɪoʊ
mayr,meɪɹ
mays,meɪz
mays,meɪz
maza,mɑzə
maze,meɪz
mazo,mɑzoʊ
mcan,məkæn
mead,mid
meal,miɫ
mean,min
meat,mit
meca,mɛkə
mech,mɛk
meck,mɛk
medi,mɛdi
meek,mik
meer,miɝ
mees,miz
meet,mit
mega,mɛɡə
mehl,mɛɫ
mehr,mɛɹ
mein,min
meir,maɪɹ
meir,meɪɹ
meis,miz
mels,mɛɫz
meld,mɛɫd
mele,miɫ
meli,mɛɫi
mell,mɛɫ
melo,mɛɫoʊ
melt,mɛɫt
meme,mim
memo,mɛmoʊ
mens,mɛnz
mena,minə
mend,mɛnd
meng,mɛŋ
menk,mɛŋk
menn,mɛn
meno,meɪnoʊ
mens,mɛnz
menu,mɛnju
menz,mɛnz
meow,miaʊ
merc,mɑɹk
merc,mɝk
mere,mɪɹ
merk,mɝk
merl,mɝɫ
mero,mɛɹoʊ
mers,mɝz
merv,mɝv
merz,mɝz
mesa,meɪsə
mesh,mɛʃ
mess,mɛs
mest,mɛst
mets,mɛts
mete,mɛtə
mete,mit
meth,mɛθ
mets,mɛts
mets,mɛts
metz,mɛts
meyn,meɪn
meyo,meɪoʊ
meza,mɛzə
mezo,mɛzoʊ
mice,maɪs
mich,mɪtʃ
mick,mɪk
midi,midi
mien,min
mier,maɪɝ
mies,maɪz
migs,mɪɡz
mihm,mɪm
mihn,mɪn
miko,maɪkoʊ
mild,maɪɫd
mile,maɪɫ
milk,mɪɫk
mill,mɪɫ
mils,mɪɫz
milt,mɪɫt
milz,mɪɫz
mime,maɪm
mims,mɪmz
minc,mɪŋk
mind,maɪnd
mine,maɪn
mini,mɪni
mink,mɪŋk
mino,minoʊ
mint,mɪnt
mion,maɪən
miot,maɪət
mips,mɪps
mirs,mɪɹz
mire,maɪɝ
mire,maɪɹ
miro,mɪɹoʊ
miro,mɪɹoʊ
mirv,mɝv
misa,mizə
mish,mɪʃ
mist,mɪst
mita,mitə
mite,maɪt
miti,miti
miti,miti
miti,mɪti
mitt,mɪt
mize,maɪz
moab,moʊæb
moad,moʊd
moak,moʊk
moan,moʊn
moat,moʊt
mobs,mɑbz
mobe,moʊb
mobs,mɑbz
moby,moʊbi
moca,moʊkə
moch,mɑk
mock,mɑk
mode,moʊd
modi,moʊdi
mody,moʊdi
moen,moʊn
moes,moʊz
moet,moʊɪt
moga,moʊɡə
mogg,mɑɡ
mohl,moʊɫ
mohn,mɑn
mohr,mɔɹ
mohs,mɑs
moir,mɔɪɹ
mojo,moʊdʒoʊ
moka,moʊkə
moke,moʊk
mola,moʊɫə
mold,moʊɫd
mole,moʊɫ
moll,mɑɫ
molt,moʊɫt
moly,moʊɫi
moms,mɑmz
moma,moʊmə
moms,mɑmz
mone,moʊn
mong,mɔŋ
monk,məŋk
monn,mɑn
mono,moʊnoʊ
mont,mɑnt
mony,moʊni
mood,mud
moog,muɡ
mook,mʊk
moor,mʊɹ
moos,muz
moot,mut
mope,moʊp
mops,mɑps
mors,mɔɹz
mord,mɔɹd
more,mɔɹ
mori,mɔɹi
mork,mɔɹk
morn,mɔɹn
moro,mɔɹoʊ
morr,mɔɹ
mort,mɔɹt
mory,mɔɹi
mosh,mɔʃ
mosk,mɔsk
moss,mɔs
most,moʊs
most,moʊst
mota,moʊtə
mote,moʊt
moth,mɔθ
moti,moʊti
motl,mɑtəɫ
moto,mɑtoʊ
moto,moʊtoʊ
mots,mɑts
mott,mɑt
motz,mɑts
moua,maʊə
moue,mu
moul,maʊɫ
mouw,maʊw
move,muv
mows,maʊz
moya,mɔɪə
moye,mɔɪ
moyl,mɔɪɫ
mpeg,ɛmpɛɡ
mraz,mɹæz
mroz,mɹɑz
mruk,mɹək
msgr,mɑnsinjɝ
mtel,ɛmtɛɫ
much,mətʃ
muck,mək
mudd,məd
muds,mədz
muff,məf
mugs,məɡz
mugu,muɡu
muha,mjuhə
muhl,məɫ
muhr,mʊɹ
muhs,məs
muir,mjʊɹ
muls,mʊɫz
mula,mjuɫə
mule,mjuɫ
mull,məɫ
mums,məmz
muma,mjumə
mumm,məm
mums,məmz
mund,mənd
muni,mjuni
munk,məŋk
munn,mən
muns,mənz
munt,mənt
munz,mənz
mura,mʊɹə
muri,mʊɹi
murk,mɝk
muro,mʊɹoʊ
murr,mɝ
musa,mjusə
muse,mjuz
mush,məʃ
musk,məsk
must,məst
mute,mjut
muth,muθ
muti,mjuti
muti,muti
mutt,mət
mutz,məts
myer,maɪɝ
myla,maɪɫə
myna,maɪnə
myre,maɪɹ
myth,mɪθ
naab,nɑb
naas,nɑz
nabb,næb
nabi,nɑbi
nabi,neɪbi
nabs,næbz
nace,neɪs
nack,næk
naef,nif
naff,næf
nagi,nɑɡi
nags,næɡz
nagy,neɪɡi
nahm,næm
nahm,nɑm
naik,neɪk
nail,neɪɫ
naim,naɪɪm
nair,nɛɹ
nale,neɪɫ
nall,nɔɫ
name,neɪm
nans,nænz
nang,næŋ
nano,nænoʊ
nano,nɑnoʊ
napa,næpə
napp,næp
naps,næps
nara,nɑɹə
narc,nɑɹk
nard,nɑɹd
naro,nɑɹoʊ
nars,nɑɹz
nary,nɛɹi
nasa,næsə
nase,neɪz
nash,næʃ
naso,nɑsoʊ
nasr,nɑsɝ
nass,næs
nast,næst
nata,nɑtə
nate,neɪt
nath,næθ
nato,neɪtoʊ
nats,næts
naus,nɔz
nava,nɑvə
nave,neɪv
navy,neɪvi
nays,neɪz
nazi,nɑtsi
nbcs,ɛnbisiz
ndau,ɛndaʊ
neer,nɛɹ
nead,nid
near,nɪɹ
neas,niz
neat,nit
neck,nɛk
neco,nikoʊ
neds,nɛdz
nedd,nɛd
neeb,nib
need,nid
neef,nif
neel,niɫ
neer,nɪɹ
nees,niz
neet,nit
neff,nɛf
neft,nɛft
negs,nɛɡz
negu,nɛɡu
nein,nin
neis,niz
nela,nɛɫə
nels,nɛɫz
nemo,nɛmoʊ
nene,nin
neni,nɛni
neon,niɑn
nepa,nipə
nepl,ɛnipiɛɫ
nepl,nɛpəɫ
nerd,nɝd
neri,nɛɹi
nerl,nɝɫ
nero,nɪɹoʊ
nesi,nɛsi
ness,nɛs
nest,nɛst
neth,nɛθ
neto,nɛtoʊ
nets,nɛts
nett,nɛt
netz,nɛts
neue,nui
neve,niv
news,njuz
news,nuz
news,nuz
newt,nut
next,nɛks
next,nɛkst
ngai,ɡaɪ
ngai,ɛnɡaɪ
nghi,ɡi
nghi,ɛnɡi
ngor,ɛŋɡɔɹ
ngos,ɛŋɡoʊz
niad,naɪæd
nial,naɪəɫ
niam,naɪəm
nibs,nɪbz
nice,naɪs
nice,nis
nico,nikoʊ
nied,nid
niel,niɫ
nier,niɝ
nies,naɪz
nigg,nɪɡ
nigh,naɪ
nike,naɪki
niko,nikoʊ
nile,naɪɫ
nill,nɪɫ
nils,nɪɫz
nims,nɪmz
nine,naɪn
ning,nɪŋ
nino,ninjoʊ
nino,ninoʊ
nipp,nɪp
nips,nɪps
niro,nɪɹoʊ
nist,nɪst
nite,naɪt
nito,nitoʊ
nitz,nɪts
noaa,ɛnoʊeɪeɪ
noaa,noʊə
noam,noʊm
noce,noʊs
nock,nɑk
noda,noʊdə
node,noʊd
nods,nɑdz
noes,noʊz
noga,noʊɡə
nohl,noʊɫ
nohr,nɔɹ
noir,nɔɪɹ
nold,noʊɫd
nole,noʊɫ
nolf,noʊɫf
noll,noʊɫ
nolo,noʊɫoʊ
nolt,noʊɫt
nome,noʊm
nomi,noʊmi
nomo,noʊmoʊ
none,nən
nook,nʊk
noon,nun
nope,noʊp
nord,nɔɹd
nork,nɔɹk
norm,nɔɹm
nose,noʊz
noss,nɔs
nosy,noʊzi
note,noʊt
noth,nɑθ
noto,noʊtoʊ
nots,nɑts
nott,nɑt
notz,nɑts
noun,naʊn
nous,nus
novi,noʊvaɪ
novi,noʊvi
novo,noʊvoʊ
novy,noʊvi
nows,naʊz
nowa,naʊə
noyd,nɔɪd
nprs,ɛnpiɑɹz
nudd,nəd
nude,nud
nudo,nudoʊ
nuhn,nən
nuke,nuk
numb,nəm
nuns,nənz
nunn,nən
nuno,nunoʊ
nuns,nənz
nuns,nənz
nurr,nɝ
nuss,nəs
nusz,nəʃ
nuts,nəts
nute,njut
nuts,nəts
nutt,nət
nuys,naɪz
nyce,naɪs
nycz,nɪtʃ
nyet,njɛt
nypd,ɛnwaɪpidi
oday,oʊdeɪ
odea,oʊdeɪ
oahu,oʊɑhu
oaks,oʊks
oaks,oʊks
oaks,oʊks
oaky,oʊki
oana,oʊnə
oanh,oʊn
oars,ɔɹz
oath,oʊθ
oats,oʊts
obar,əbɑɹ
ober,oʊbɝ
obey,oʊbeɪ
obie,oʊbi
obit,oʊbɪt
obit,oʊbɪt
oboe,oʊboʊ
obon,oʊbən
obst,ɑbst
ocaw,oʊkɔ
ochs,ɑks
ochs,oʊks
ocon,əkɑn
oday,oʊdeɪ
oddi,ɑdi
oddi,oʊdi
odds,ɑdz
oddy,ɑdi
odea,ɑdiə
oded,oʊdɛd
odem,oʊdɪm
oden,oʊdən
oder,oʊdɝ
odes,oʊdz
odin,oʊdən
