abbreviations,əbɹivieɪʃənz
proclamations,pɹɑkɫəmeɪʃənz
procrastinate,pɹəkɹæstəneɪt
professionals,pɹəfɛʃənəɫz
professionals,pɹəfɛʃənəɫz
professorship,pɹəfɛsɝʃɪp
profitability,pɹɑfɪtəbɪɫɪti
prognosticate,pɹɑɡnɑstəkeɪt
progressively,pɹɑɡɹɛsɪvɫi
progressivity,pɹɑɡɹɛsɪvəti
prohibitively,pɹoʊhɪbətɪvɫi
proliferating,pɹoʊɫɪfɝeɪtɪŋ
proliferation,pɹoʊɫɪfɝeɪʃən
pronouncement,pɹənaʊnsmənt
pronunciation,pɹənənsieɪʃən
pronunciation,pɹoʊnənsieɪʃən
propagandists,pɹɑpəɡændəsts
proportionate,pɹəpɔɹʃənət
propositioned,pɹɑpəzɪʃənd
proprietaries,pɹəpɹaɪətɛɹiz
prosecutorial,pɹɑsɪkjutɔɹiəɫ
proselytizing,pɹɑsəɫətaɪzɪŋ
prospectively,pɹəspɛktɪvɫi
prostaglandin,pɹoʊstæɡɫændɪn
prostatectomy,pɹɑsteɪtɛktəmi
protectionism,pɹətɛkʃənɪzəm
protectionist,pɹətɛkʃənɪst
proteinaceous,pɹoʊtɪneɪʃəs
protestantism,pɹɑtəstəntɪzəm
protestations,pɹoʊtɛsteɪʃənz
protuberances,pɹətubɝənsəz
protuberances,pɹoʊtubɝənsəz
provincialism,pɹəvɪnʃəɫɪzəm
provisionally,pɹəvɪʒənəɫi
provocatively,pɹoʊvɑkətɪvɫi
pseudoscience,sudoʊsaɪəns
psychiatrists,səkaɪətɹəsts
psychiatrists,səkaɪətɹəsts
psychoanalyst,saɪkoʊænəɫəst
psychodynamic,saɪkoʊdaɪnæmɪk
psychokinesis,saɪkoʊkənisəs
psychological,saɪkəɫɑdʒɪkəɫ
psychologists,saɪkɑɫədʒəsts
psychosomatic,saɪkoʊsəmætɪk
psychotherapy,saɪkoʊθɛɹəpi
pusillanimous,pjusəɫænəməs
qualification,kwɑɫəfəkeɪʃən
qualitatively,kwɑɫəteɪtɪvɫi
quartermaster,kwɔɹtɝmæstɝ
questionnaire,kwɛstʃənɛɹ
radioactivity,ɹeɪdioʊæktɪvəti
radioactivity,ɹeɪdioʊæktɪvəti
raffensperger,ɹæfɪnspɝɡɝ
ramifications,ɹæməfəkeɪʃənz
rancorousness,ɹæŋkɝəsnɪs
rapprochement,ɹæpɹoʊʃmɑn
ratatisements,ɹætətaɪzmənts
rationalizing,ɹæʃənəɫaɪzɪŋ
reactionaries,ɹiækʃənɛɹiz
readjustments,ɹiədʒəstmənts
reaffiliation,ɹiəfɪɫieɪʃən
reaffirmation,ɹiæfɝmeɪʃən
realistically,ɹiəɫɪstɪkɫi
reappointment,ɹiəpɔɪntmənt
rearrangement,ɹiɝeɪndʒmənt
reassignments,ɹiəsaɪnmənts
reauthorizing,ɹiɔθɝaɪzɪŋ
recalcitrance,ɹɪkæɫsətɹəns
recalculating,ɹikæɫkjəɫeɪtɪŋ
recalculation,ɹikæɫkjəɫeɪʃən
recapitalized,ɹikæpɪtəɫaɪzd
recapitulates,ɹikəpɪtʃəɫeɪts
receiverships,ɹɪsivɝʃɪps
receptionists,ɹisɛpʃənɪs
receptionists,ɹisɛpʃənɪsts
receptionists,ɹɪsɛpʃənɪs
receptionists,ɹɪsɛpʃənɪsts
reciprocating,ɹɪsɪpɹəkeɪtɪŋ
reclassifying,ɹikɫæsɪfaɪɪŋ
recollections,ɹɛkəɫɛkʃənz
recombination,ɹikɑmbɪneɪʃən
reconditioned,ɹikəndɪʃənd
reconsidering,ɹikənsɪdɝɪŋ
reconstituted,ɹikɑnstətutɪd
reconstructed,ɹikənstɹəktɪd
recordkeeping,ɹɛkɝdkipɪŋ
recrimination,ɹɪkɹɪmɪneɪʃən
rectification,ɹɛktəfəkeɪʃən
redeployments,ɹidɪpɫɔɪmənts
redevelopment,ɹidɪvɛɫəpmənt
rediscovering,ɹidɪskəvɝɪŋ
redistributed,ɹidɪstɹɪbjətɪd
redistributed,ɹidɪstɹɪbjutɪd
redistricting,ɹidɪstɹɪktɪŋ
reengineering,ɹiɛndʒənɪɹɪŋ
reestablished,ɹiɪstæbɫɪʃt
reexamination,ɹiɪɡzæməneɪʃən
reforestation,ɹifɔɹəsteɪʃən
reformatories,ɹɪfɔɹmətɔɹiz
refrigeration,ɹɪfɹɪdʒɝeɪʃən
refrigerators,ɹɪfɹɪdʒɝeɪtɝz
refurbishment,ɹifɝbɪʃmənt
regimentation,ɹɛdʒəmɛnteɪʃən
registrations,ɹɛdʒɪstɹeɪʃənz
rehabilitated,ɹiəbɪɫəteɪtɪd
rehabilitated,ɹihəbɪɫəteɪtɪd
rehabilitator,ɹihəbɪɫəteɪtɝ
reichelderfer,ɹaɪkɪɫdɝfɝ
reichenberger,ɹaɪkənbɝɡɝ
reifschneider,ɹaɪfʃnaɪdɝ
reimbursement,ɹiɪmbɝsmənt
reincarnation,ɹiɪnkɑɹneɪʃən
reincorporate,ɹiɪnkɔɹpɝeɪt
reinforcement,ɹiɪnfɔɹsmənt
reinspections,ɹiɪnspɛkʃəns
reinstatement,ɹiɪnsteɪtmənt
reinstituting,ɹiɪnstətutɪŋ
reintegration,ɹiɪntəɡɹeɪʃən
reinterpreted,ɹiɪntɝpɹətɪd
reintroducing,ɹiɪntɹədusɪŋ
reinvigorated,ɹiɪnvɪɡɝeɪtɪd
rejectionists,ɹidʒɛkʃənɪsts
rejectionists,ɹɪdʒɛkʃənɪsts
relationships,ɹiɫeɪʃənʃɪps
relinquishing,ɹiɫɪŋkwɪʃɪŋ
remanufacture,ɹimænjəfæktʃɝ
remanufacture,ɹimænjufæktʃɝ
remerchandise,ɹimɝtʃəndaɪz
reminiscences,ɹɛmənɪsənsɪz
renationalize,ɹinæʃənəɫaɪz
renegotiating,ɹinɪɡoʊʃieɪtɪŋ
renegotiation,ɹinɪɡoʊʃieɪʃən
repercussions,ɹipɝkəʃənz
repercussions,ɹipɹəkəʃənz
replenishment,ɹɪpɫɛnɪʃmənt
repositioning,ɹipəzɪʃənɪŋ
repossessions,ɹipəzɛʃənz
reprehensible,ɹɛpɹɪhɛnsəbəɫ
reproductions,ɹipɹədəkʃənz
reprogenetics,ɹipɹɔdʒənɛtɪks
reprogramming,ɹipɹoʊɡɹæmɪŋ
reprographics,ɹɛpɹoʊɡɹæfɪks
republicanism,ɹɪpəbɫɪkənɪzəm
republicbanks,ɹipəbɫɪkbæŋks
requisitioned,ɹɛkwəzɪʃənd
reschedulings,ɹiʃkɛdʒuɫɪŋz
resistiveness,ɹɪzɪstɪvnəs
restauranteur,ɹɛstɹɑntɝ
restaurateurs,ɹɛstɝətɝz
restaurateurs,ɹɛstɹətɝz
restructuring,ɹistɹəktʃɝɪŋ
resuscitating,ɹɪsəsɪteɪtɪŋ
resuscitation,ɹɪsəsɪteɪʃən
retrenchments,ɹitɹɛntʃmənts
retroactively,ɹɛtɹoʊæktɪvɫi
retroactivity,ɹɛtɹoʊæktɪvɪti
retrospective,ɹɛtɹəspɛktɪv
reunification,ɹiunəfəkeɪʃən
reverberating,ɹivɝbɝeɪtɪŋ
reverberating,ɹɪvɝbɝeɪtɪŋ
reverberation,ɹivɝbɝeɪʃən
revolutionary,ɹɛvəɫuʃənɛɹi
revolutionist,ɹɛvəɫuʃənɪst
revolutionize,ɹɛvəɫuʃənaɪz
rhinoplasties,ɹaɪnoʊpɫæstiz
ricostruzione,ɹikoʊstɹuzioʊni
righteousness,ɹaɪtʃəsnəs
rollerblading,ɹoʊɫɝbɫeɪdɪŋ
rollercoaster,ɹoʊɫɝkoʊstɝ
romanticizing,ɹoʊmæntəsaɪzɪŋ
rostenkowskis,ɹɔstɛŋkaʊskiz
rothlisberger,ɹɔθɫɪsbɝɡɝ
russification,ɹəsəfəkeɪʃən
russification,ɹusəfəkeɪʃən
sanctimonious,sæŋktəmoʊniəs
sarcastically,sɑɹkæstɪkɫi
sassounguesso,sæsuŋɡɛsoʊ
satisfactions,sætəsfækʃənz
scandinavians,skændɪneɪviənz
scattergories,skætɝɡɔɹiz
schadenfreude,ʃædɪnfɹɔɪd
schimmelbusch,ʃɪməɫbʊʃ
schizophrenia,skɪtsəfɹiniə
schizophrenic,ʃɪzəfɹɛnɪk
schlegelmilch,ʃɫɛɡɪɫmɪɫk
schlotterbeck,ʃɫɑtɝbɛk
schnackenberg,ʃnækənbɝɡ
schneidermans,ʃnaɪdɝmənz
schneidewinds,ʃnaɪdəwɪndz
schoolteacher,skuɫtitʃɝ
schottenstein,ʃɑtənstaɪn
schottenstein,ʃɑtənstin
schreckengost,ʃɹɛkɪŋɡəst
schwartzbergs,ʃwɔɹtsbɝɡz
schwartzchild,ʃwɔɹtstʃaɪɫd
schwerdtfeger,ʃwɝtfeɪɡɝ
scientologist,saɪəntɑɫədʒəst
screenwriters,skɹinɹaɪtɝz
screenwriting,skɹinɹaɪtɪŋ
scriptwriters,skɹɪptɹaɪtɝz
scriptwriting,skɹɪptɹaɪtɪŋ
secessionists,sɪsɛʃənɪsts
secretiveness,sikɹətɪvnəs
sedimentation,sɛdəmənteɪʃən
seismological,saɪzməɫɔdʒəkəɫ
seismologists,saɪzmɑɫədʒəsts
semiautomatic,sɛmaɪɔtəmætɪk
semiautomatic,sɛmiɔtəmætɪk
semiautomatic,sɛmɪɔtəmætɪk
semiclassical,sɛmaɪkɫæsɪkəɫ
semiclassical,sɛmikɫæsɪkəɫ
semiclassical,sɛmɪkɫæsɪkəɫ
semiconductor,sɛmaɪkəndəktɝ
semiconductor,sɛmikəndəktɝ
semiconductor,sɛmɪkəndəktɝ
semifinalists,sɛmaɪfaɪnəɫɪs
semifinalists,sɛmaɪfaɪnəɫɪsts
semifinalists,sɛmifaɪnəɫɪs
semifinalists,sɛmifaɪnəɫɪsts
semilegendary,sɛmiɫɛdʒəndɛɹi
semilegendary,sɛmɪɫɛdʒəndɛɹi
semipermanent,sɛmaɪpɝmənənt
semipermanent,sɛmipɝmənənt
semipermanent,sɛmɪpɝmənənt
semireligious,sɛmaɪɹɪɫɪdʒəs
semireligious,sɛmiɹɪɫɪdʒəs
semireligious,sɛmɪɹɪɫɪdʒəs
sensenbrenner,sɛnsənbɹɛnɝ
sensibilities,sɛnsɪbɪɫɪtiz
sensitiveness,sɛnsətɪvnəs
sensitivities,sɛnsɪtɪvɪtiz
sequestration,sɛkwəstɹeɪʃən
serendipitous,sɛɹəndɪpɪtəs
servicemaster,sɝvɪsmæstɝ
shakespearean,ʃeɪkspɪɹiən
shalikashvili,ʃæɫikɑʃviɫi
shallenberger,ʃɔɫənbɝɡɝ
sharecroppers,ʃɛɹkɹɑpɝz
shareholdings,ʃɛɹhoʊɫdɪŋz
sharpshooters,ʃɑɹpʃutɝz
shellenbarger,ʃɛɫɪnbɑɹɡɝ
shellenberger,ʃɛɫənbɝɡɝ
shevardnadzes,ʃɛvɝdnɑdziz
shindledecker,ʃɪndəɫdɪkɝ
shingledecker,ʃɪŋɡəɫdɪkɝ
shipbuildings,ʃɪpbɪɫdɪŋz
shiremanstown,ʃaɪɹmənztaʊn
shollenberger,ʃɑɫənbɝɡɝ
shortchanging,ʃɔɹttʃeɪndʒɪŋ
shuttlesworth,ʃətəɫzwɝθ
siderographer,saɪdɝɔɡɹəfɝ
significantly,sɪɡnɪfɪkəntɫi
skandinaviska,skændɪnəvɪskə
skateboarding,skeɪtbɔɹdɪŋ
slaughterings,sɫɔtɝɪŋz
snellenberger,snɛɫənbɝɡɝ
snydergeneral,snaɪdɝdʒɛnɝəɫ
socialization,soʊʃəɫɪzeɪʃən
socioeconomic,soʊsioʊɛkənɑmɪk
solicitations,səɫɪsɪteɪʃənz
somersaulting,səmɝsɔɫtɪŋ
sophisticated,səfɪstəkeɪtɪd
sophisticated,səfɪstɪkeɪtəd
sophisticates,səfɪstəkɪts
southeasterns,saʊθistɝnz
sovexportfilm,soʊvɛkspɔɹtfɪɫm
sovietologist,soʊviətɑɫədʒɪst
spasmodically,spæzmɔdɪkɫi
specification,spɛsɪfɪkeɪʃən
spectacularly,spɛktækjəɫɝɫi
spectravision,spɛktɹəvɪʒən
speechwriters,spitʃɹaɪtɝz
spiritualists,spɪɹɪtʃuəɫɪsts
spokespersons,spoʊkspɝsənz
spontaneously,spɑnteɪniəsɫi
sportscasters,spɔɹtskæstɝz
sportschannel,spɔɹtstʃænəɫ
sportsmanship,spɔɹtsmənʃɪp
sportswriters,spɔɹtsɹaɪtɝz
springerville,spɹɪŋɝvɪɫ
sproutaphiles,spɹaʊtəfaɪɫz
squeamishness,skwimɪʃnəs
stabilization,steɪbəɫəzeɪʃən
staffordshire,stæfɝdʃaɪɝ
staffordshire,stæfɝdʃɝ
stalinization,stæɫɪnɪzeɪʃən
standardizing,stændɝdaɪzɪŋ
statesborough,steɪtsbəɹoʊ
statesmanlike,stətɛsmənɫaɪk
statesmanship,steɪtsmənʃɪp
statistically,stətɪstɪkəɫi
statistically,stətɪstɪkɫi
statisticians,stætɪstɪʃənz
steadfastness,stɛdfæstnəs
steamrollered,stimɹoʊɫɝd
steffensmeier,stɛfɪnsmaɪɝ
stepdaughters,stɛpdɔtɝz
steppingstone,stɛpɪŋstoʊn
stereographic,stɛɹiəɡɹæfɪk
stereotypical,stɛɹiətɪpɪkəɫ
stereotypical,stɛɹioʊtɪpɪkəɫ
sterilization,stɛɹəɫəzeɪʃən
sterilization,stɛɹəɫɪzeɪʃən
stockholdings,stɑkhoʊɫdɪŋz
straightaways,stɹeɪtəweɪz
straightening,stɹeɪtənɪŋ
straightening,stɹeɪtnɪŋ
strangulation,stɹæŋɡjəɫeɪʃən
strategically,stɹətidʒɪkɫi
stratigraphic,stɹætəɡɹæfɪk
stratospheric,stɹætəsfɪɹɪk
strengthening,stɹɛŋθənɪŋ
streptococcus,stɹɛptəkɔkəs
streptokinase,stɹɛptəkaɪneɪs
streptokinase,stɹɛptoʊkaɪneɪz
strikebreaker,stɹaɪkbɹeɪkɝ
stylistically,staɪɫɪstɪkɫi
subassemblies,səbəsɛmbɫiz
subcommanders,səbkəmændɝz
subcommanders,səbkəmændɝz
subcommittees,səbkəmɪtiz
subcommittees,səbkəmɪtiz
subcontinents,səbkɑntɪnənts
subcontracted,səbkɑntɹæktɪd
subcontractor,səbkɑntɹæktɝ
subordinating,səbɔɹdəneɪtɪŋ
subordination,səbɔɹdəneɪʃən
subprincipals,səbpɹɪnsəpəɫz
subscriptions,səbskɹɪpʃənz
subsidization,səbsɪdɪzeɪʃən
substantially,səbstænʃəɫi
substantiated,səbstænʃieɪtɪd
substantiated,səbstæntʃieɪtɪd
substantiates,səbstænʃieɪts
substantiates,səbstæntʃieɪts
substantively,səbstəntɪvɫi
substitutions,səbstɪtjuʃənz
summagraphics,səməɡɹæfɪks
superabrasive,supɝəbɹeɪsɪv
supercollider,supɝkəɫaɪdɝ
supercomputer,supɝkəmpjutɝ
superdelegate,supɝdɛɫəɡət
superficially,supɝfɪʃəɫi
superfluidity,supɝfɫuɪdəti
superhighways,supɝhaɪweɪz
supermajority,supɝmədʒɔɹɪti
superregional,supɝɹidʒənəɫ
superstitions,supɝstɪʃənz
superstitious,supɝstɪʃəs
supplementary,səpɫəmɛnɝi
supplementary,səpɫəmɛntɝi
supplementary,səpɫəmɛntɹi
supplementary,səpɫəmɛntʃɹi
supplementing,səpɫəmɛntɪŋ
supplementing,səpɫəməntɪŋ
supranational,supɹənæʃənəɫ
surreptitious,sɝəptɪʃəs
survivability,sɝvaɪvəbɪɫɪti
swashbuckling,swɑʃbəkɫɪŋ
symmetrically,səmɛtɹɪkɫi
synchronicity,sɪŋkɹənɪsɪti
synchronizing,sɪŋkɹənaɪzɪŋ
synthetically,sɪnθɛtɪkɫi
tallahasseans,tæɫəhæsiənz
tantalizingly,tænəɫaɪzɪŋɫi
tantalizingly,tæntəɫaɪzɪŋɫi
technological,tɛknəɫɑdʒɪkəɫ
technologists,tɛknɑɫədʒɪsts
telecommuters,tɛɫəkəmjutɝz
telecommuters,tɛɫəkəmjutɝz
telecommuting,tɛɫəkəmjutɪŋ
telemarketers,tɛɫəmɑɹkɪtɝz
telemarketing,tɛɫəmɑɹkətɪŋ
telemecanique,tɛɫəməkænɪk
telephoniques,tɛɫəfɑniks
televangelist,tɛɫəvændʒəɫəst
temperamental,tɛmpɝmɛntəɫ
temperamental,tɛmpɹəmɛntəɫ
territorially,tɛɹɪtɔɹiəɫi
theatricality,θiætɹəkæɫəti
theologically,θiəɫɑdʒɪkɫi
theoretically,θiɝɛtɪkəɫi
theoretically,θiɝɛtɪkɫi
theoreticians,θiɝətɪʃənz
thermodynamic,θɝmoʊdaɪnæmɪk
thermonuclear,θɝmoʊnukɫiɝ
thermoplastic,θɝməpɫæstɪk
thermosetting,θɝmoʊsɛtɪŋ
thoroughbreds,θɝoʊbɹɛdz
thoroughfares,θɝoʊfɛɹz
threateningly,θɹɛtənɪŋɫi
threateningly,θɹɛtnɪŋɫi
thundershower,θəndɝʃaʊwɝ
thunderstorms,θəndɝstɔɹmz
thunderstruck,θəndɝstɹək
ticketmasters,tɪkətmæstɝz
tonsillectomy,tɑnsɪɫɛktəmi
totalitarians,toʊtæɫətɛɹiənz
toxicological,tɑksəkəɫɑdʒɪkəɫ
toxicologists,tɑksɪkɑɫədʒɪsts
tracheophytes,tɹeɪkiəfaɪts
traditionally,tɹədɪʃənəɫi
traditionally,tɹədɪʃnəɫi
tranquilizers,tɹæŋkwəɫaɪzɝz
tranquilizing,tɹæŋkwəɫaɪzɪŋ
transamericas,tɹænzəmɛɹɪkəz
transamerican,tɹænzəmɛɹɪkən
transatlantic,tɹænzətɫænɪk
transatlantic,tɹænzətɫæntɪk
transcendence,tɹænsɛndəns
transchannels,tɹənstʃænəɫz
transcription,tɹænskɹɪpʃən
transferrable,tɹænsfɝəbəɫ
transgressing,tɹænzɡɹɛsɪŋ
transgression,tɹænzɡɹɛʃən
transitioning,tɹænzɪʃənɪŋ
transmissions,tɹænzmɪʃənz
transmittable,tɹænzmɪtəbəɫ
transnational,tɹænsnæʃənəɫ
transparently,tɹænspɛɹəntɫi
transplanting,tɹænspɫæntɪŋ
transportable,tɹænspɔɹtəbəɫ
transvestites,tɹænzvɛstaɪts
triangulation,tɹaɪæŋɡjuɫeɪʃən
triglycerides,tɹaɪɡɫɪsɝaɪdz
troublemakers,tɹəbəɫmeɪkɝz
troubleshoots,tɹəbəɫʃuts
turbocharging,tɝboʊtʃɑɹdʒɪŋ
typographical,taɪpəɡɹæfɪkəɫ
tyrannosaurus,tɪɹænəsɔɹəs
unaccompanied,ənəkəmpənid
unaccountable,ənəkaʊntəbəɫ
unaccountably,ənəkaʊntəbɫi
unadulterated,ənədəɫtɝeɪtɪd
unambiguously,ənæmbɪɡjuəsɫi
unanticipated,ənæntɪsəpeɪtɪd
unappreciated,ənəpɹiʃieɪtɪd
uncapitalized,ənkæpɪtəɫaɪzd
unceremonious,ənsɛɹəmoʊniəs
uncertainties,ənsɝtəntiz
uncollectable,ənkəɫɛktəbəɫ
uncollectible,ənkəɫɛktɪbəɫ
uncomfortable,ənkəmfɝtəbəɫ
uncomfortably,ənkəmftəbɫi
uncompensated,ənkɑmpənseɪtɪd
uncompetitive,ənkəmpɛtətɪv
uncomplicated,ənkɑmpɫəkeɪtɪd
unconditional,ənkəndɪʃənəɫ
unconsciously,ənkɑnʃəsɫi
unconstrained,ənkənstɹeɪnd
uncooperative,ənkoʊɑpɝətɪv
uncoordinated,ənkoʊɔɹdəneɪtɪd
underachiever,əndɝətʃivɝ
undercarriage,əndɝkæɹɪdʒ
underclassmen,əndɝkɫæsmɛn
undercurrents,əndɝkɝənts
underemployed,əndɝɪmpɫɔɪd
underestimate,əndɝɛstəmeɪt
underestimate,əndɝɛstəmət
underfinanced,əndɝfɪnænst
undergarments,əndɝɡɑɹmənts
undergraduate,əndɝɡɹædʒəwət
underpayments,əndɝpeɪmənts
underpinnings,əndɝpɪnɪŋz
underreported,əndɝɹɪpɔɹtɪd
understanding,əndɝstændɪŋ
underutilized,əndɝjutəɫaɪzd
underweighted,əndɝweɪtɪd
underwithheld,əndɝwɪθhɛɫd
underwithhold,əndɝwɪθhoʊɫd
underwritings,əndɝɹaɪtɪŋz
undetermining,ənditɝmənɪŋ
undetermining,əndɪtɝmɪnɪŋ
undisciplined,əndɪsɪpɫɪnd
undistributed,əndɪstɹɪbjutɪd
undiversified,əndɪvɝsɪfaɪd
unenforceable,ənɛnfɔɹsəbəɫ
unenlightened,ənɛnɫaɪtənd
unequivocably,ənɪkwɪvəkəbɫi
unequivocally,ənikwɪvəkəɫi
unequivocally,ənikwɪvəkɫi
unexplainable,ənɪkspɫeɪnəbəɫ
unfamiliarity,ənfəmɪɫjɛɹəti
unfashionable,ənfæʃənəbəɫ
unforeseeable,ənfɔɹsiəbəɫ
unforgettable,ənfɝɡɛtəbəɫ
unfortunately,ənfɔɹtʃənətɫi
unfortunately,ənfɔɹtʃunətɫi
unilateralism,junɪɫætɝəɫɪzəm
unimaginative,ənɪmædʒɪnətɪv
unimpeachable,ənɪmpitʃəbəɫ
uninformative,ənɪnfɔɹmətɪv
uninhabitable,ənɪnhæbətəbəɫ
unintentional,ənɪntɛnʃənəɫ
uninteresting,ənɪntɹəstɪŋ
uninterrupted,ənɪnɝəptɪd
uninterrupted,ənɪntɝəptɪd
unjustifiable,əndʒəstɪfaɪəbəɫ
unjustifiably,əndʒəstɪfaɪəbɫi
unmentionable,ənmɛnʃənəbəɫ
unnecessarily,ənnɛsəsɛɹəɫi
unprecedented,ənpɹɛsɪdɛntɪd
unpredictable,ənpɹɪdɪktəbəɫ
unpredictably,ənpɹɪdɪktəbɫi
unpressurized,ənpɹɛʃɝaɪzd
unpretentious,ənpɹitɛnʃəs
unquestioning,ənkwɛstʃənɪŋ
unreliability,ənɹiɫaɪəbɪɫɪti
unrepresented,ənɹɛpɹɪzɛntɪd
unsentimental,ənsɛntɪmɛntəɫ
unserviceable,ənsɝvəsəbəɫ
unserviceable,ənsɝvəsəbəɫ
unspectacular,ənspɛktækjəɫɝ
unsupportable,ənsəpɔɹtəbəɫ
unsustainable,ənsəsteɪnəbəɫ
unsustainably,ənsəsteɪnəbɫi
unsympathetic,ənsɪmpəθɛtɪk
untraditional,əntɹədɪʃənəɫ
untrustworthy,əntɹəstwɝði
unwillingness,ənwɪɫɪŋnɪs
vaapenfabrikk,vɑpənfɑbɹɪk
vaapenfabrikk,vɑpɛnfəbɹɪk
valedictorian,væɫədɪktɔɹiən
vallandingham,væɫəndɪŋhæm
vanbenschoten,vænbɛnʃətən
vanbiesbrouck,vænbiəsbɹuk
vanlandingham,vænɫændɪŋhæm
vanvalkenburg,vænvɔkənbɝɡ
vegetarianism,vɛdʒətɛɹiənɪzəm
versicherungs,vɝsɪtʃɝəŋz
veterinarians,vɛtɝənɛɹiənz
veterinarians,vɛtɹənɛɹiənz
victimization,vɪktəməzeɪʃən
videocassette,vɪdioʊkæsɛt
villavicencio,vɪɫəvɪsɛnsioʊ
visualization,vɪʒwəɫəzeɪʃən
vivisepulture,vɪvisɛpəɫtʃɝ
volcanologist,vɔɫkənɔɫədʒɪst
vulgarization,vəɫɡɝɪzeɪʃən
vulnerability,vəɫnɝəbɪɫɪti
waffenschmidt,wɑfənʃmɪt
washingtonian,wɑʃɪŋtoʊniən
washingtonian,wɔʃɪŋtoʊniən
wassilievitch,wɑsɪɫjəvɪtʃ
waterproofing,wɔtɝpɹufɪŋ
weatherington,wɛðɝɪŋtən
weatherperson,wɛθɝpɝsən
weightlifters,weɪtɫɪftɝz
weightlifting,weɪtɫɪftɪŋ
westinghouses,wɛstɪŋhaʊsɪz
weyerhaeusers,wɛɹhaʊzɝz
whippoorwills,hwɪpɝwɪɫz
whippoorwills,wɪpɝwɪɫz
whistleblower,hwɪsəɫbɫoʊɝ
whistleblower,wɪsəɫbɫoʊɝ
wholesomeness,hoʊɫsəmnəs
williamsburgh,wɪɫjəmzbɝɡ
witwatersrand,wɪtwɔtɝsɹænd
wojciechowski,wɔɪtʃɪhɔfski
wolfenschmidt,wʊɫfənʃmɪt
wonderfulness,wəndɝfəɫnəs
yabbadabbadoo,jæbədæbədu
yekaterinburg,jɛkætɝinbəɹɡ
zwetchkenbaum,zwɛtʃkənbɑm
